"genes","pval","padj","log2err","ES","NES","size"
"BIOCARTA_41BB_PATHWAY",0.048828125,0.139508928571429,0.287857117255149,0.599399833116618,1.54797970938833,15
"BIOCARTA_AGR_PATHWAY",0.571955719557196,0.835163687961967,0.0681513438679483,0.29192637669548,0.917029295132927,33
"BIOCARTA_AKT_PATHWAY",0.0105402882741098,0.0426111432420962,0.380730400722792,0.614609368347084,1.71049914281956,20
"BIOCARTA_ALK_PATHWAY",7.94443442569295e-05,0.000866578928935559,0.538434096309916,0.634585756933146,2.001962429039,34
"BIOCARTA_AMI_PATHWAY",0.0326586034129067,0.101266987326842,0.321775918075361,0.599258037094775,1.57304035671865,16
"BIOCARTA_ARAP_PATHWAY",0.936758893280632,1,0.0481183992657975,0.232714518722299,0.619175437651914,17
"BIOCARTA_ARENRF2_PATHWAY",0.0407371682975037,0.120998824951993,0.321775918075361,0.545167073183143,1.50762560689109,19
"BIOCARTA_ARF_PATHWAY",0.08300395256917,0.204948031034988,0.219250346703755,0.537087220464539,1.42900931413402,17
"BIOCARTA_AT1R_PATHWAY",0.63915547024952,0.89454929356126,0.0646484568421928,0.300029711506704,0.895278829965173,27
"BIOCARTA_ATM_PATHWAY",0.068359375,0.177556818181818,0.241339976815091,0.520572004858037,1.44878684566793,20
"BIOCARTA_ATRBRCA_PATHWAY",0.27027027027027,0.48829317122,0.11331290842208,0.401054720237574,1.14322837524823,22
"BIOCARTA_BAD_PATHWAY",0.467181467181467,0.717347196042885,0.0808589150280032,0.351104746504702,1.00084324815012,22
"BIOCARTA_BARRESTIN_SRC_PATHWAY",0.636363636363636,0.893769152196119,0.0662842187012672,0.326923902702589,0.869835073660796,17
"BIOCARTA_BCELLSURVIVAL_PATHWAY",0.05859375,0.157298657718121,0.261663521711573,0.578952849174479,1.49517436225293,15
"BIOCARTA_BCR_PATHWAY",0.0169758269537667,0.0606279534063097,0.352487857583619,0.495432430642514,1.55630353721693,33
"BIOCARTA_BIOPEPTIDES_PATHWAY",0.996190476190476,1,0.0436251240000606,0.140977148970897,0.425147746931189,28
